limspedon_id,State,County_FIPS,County Name,latitude degrees,latitude minutes,latitude seconds,latitude direction,longitude degrees,longitude minutes,longitude seconds,longitude direction,latitude decimal_degrees,longitude decimal_degrees,horizontal datum,Classification Type: SSL,SSL_taxon_name,SSL_taxon_kind,SSL_taxonomic_classification_name,Classification Type: Field,field_taxon_name,field_taxon_kind,field_taxonomic_classification_name,Classification Type: Sampled As,sampledas_taxon_name,sampled_taxon_kind,sampledas_taxonomic_classification_name,Classification Type: Correlated As,correlatedas_taxon_name,correlatedas_taxon_kind,correlatedas_taxonomic_classification_name
33796,SD,SD129,Walworth,45,32,36.55,north,100,3,25.76,west,,,WGS84,,,,,,,,,sampled as,Highmore,taxadjunct,"Fine-silty, mixed, superactive, frigid Typic Argiustoll",,,,
32728,SD,SD039,Deuel,44,52,26.7,north,96,41,36.1,west,,,WGS84,,,,,,,,,sampled as,Barnes,series,"Fine-loamy, mixed, superactive, frigid Calcic Hapludoll",,,,
34777,KS,KS161,Riley,39,7,11.39,north,96,32,46.07,west,,,WGS84,,,,,,,,,sampled as,Clime,series,"Fine, mixed, active, mesic Udorthentic Haplustoll",,,,
34903,SD,SD099,Minnehaha,43,39,10.98,north,96,28,52.28,west,,,WGS84,,,,,,,,,sampled as,Nora,series,"Fine-silty, mixed, superactive, mesic Udic Haplustoll",,,,
33790,SD,SD129,Walworth,45,32,38.26,north,100,3,24.49,west,,,WGS84,,,,,,,,,sampled as,Highmore,taxadjunct,"Fine-silty, mixed, superactive, frigid Typic Argiustoll",,,,
32975,NE,NE155,Saunders,41,10,5.31,north,96,24,40.65,west,,,WGS84,,,,,,,,,,,,,,,,
34896,SD,SD009,Bon Homme,42,49,11.63,north,98,4,36.54,west,,,WGS84,,,,,,,,,sampled as,Onita,series,"Fine, smectitic, mesic Pachic Argiustoll",,,,
13487,ND,ND089,Stark,46,52,14.59,north,103,13,49.4,west,,,WGS84,,,,,,,,,sampled as,Wayden,series,"Clayey, smectitic, calcareous, frigid, shallow Typic Ustorthent",,,,
34508,SD,SD085,Lyman,43,52,39.01,north,100,0,28.48,west,,,WGS84,,,,,,,,,sampled as,Millboro,series,"Fine, smectitic, mesic Typic Haplustert",,,,
34353,NE,NE169,Thayer,40,6,7.12,north,97,34,38.5,west,,,WGS84,,,,,,,,,sampled as,Geary,series,"Fine-silty, mixed, superactive, mesic Udic Argiustoll",,,,
34891,SD,SD009,Bon Homme,42,49,8.31,north,98,4,35.94,west,,,WGS84,,,,,,,,,sampled as,Onita,series,"Fine, smectitic, mesic Pachic Argiustoll",,,,
33000,NE,NE155,Saunders,41,10,5.26,north,96,24,37.51,west,,,WGS84,,,,,,,,,,,,,,,,
33130,NE,NE025,Cass,41,1,33.59,north,95,52,42.18,west,,,WGS84,,,,,,,,,,,,,,,,
33801,SD,SD129,Walworth,45,27,36.91,north,100,3,10.14,west,,,WGS84,,,,,,,,,sampled as,Highmore,taxadjunct,"Fine-silty, mixed, superactive, frigid Typic Argiustoll",,,,
32999,NE,NE155,Saunders,41,10,5.26,north,96,24,37.11,west,,,WGS84,,,,,,,,,,,,,,,,
33817,SD,SD129,Walworth,45,20,36.49,north,99,59,28.38,west,,,WGS84,,,,,,,,,sampled as,Mobridge,taxadjunct,"Coarse-silty, mixed, superactive, frigid Pachic Argiustoll",,,,
33157,NE,NE109,Lancaster,40,57,24.85,north,96,43,0.49,west,,,WGS84,,,,,,,,,,,,,,,,
32545,MN,MN137,St. Louis,48,25,50.6,north,92,50,31.57,west,,,WGS84,,,,,,,,,sampled as,Voyageurs,series,"Fine, smectitic, frigid Aquic Glossudalf",,,,
32996,NE,NE155,Saunders,41,10,2.45,north,96,24,37.52,west,,,WGS84,,,,,,,,,,,,,,,,
34908,SD,SD099,Minnehaha,43,39,8.84,north,96,28,50.8,west,,,WGS84,,,,,,,,,sampled as,Nora,series,"Fine-silty, mixed, superactive, mesic Udic Haplustoll",,,,
33806,SD,SD129,Walworth,45,23,30.94,north,100,1,12.76,west,,,WGS84,,,,,,,,,sampled as,Highmore,taxadjunct,"Fine-silty, mixed, superactive, frigid Typic Argiustoll",,,,
34781,KS,KS161,Riley,39,6,21.71,north,96,35,51.47,west,,,WGS84,,,,,,,,,sampled as,Clime,series,"Fine, mixed, active, mesic Udorthentic Haplustoll",,,,
32738,SD,SD069,Hyde,44,41,9.8,north,99,23,33,west,,,WGS84,,,,,,,,,sampled as,Glenham,series,"Fine-loamy, mixed, superactive, mesic Typic Argiustoll",,,,
12014,SD,SD019,Butte,44,46,42.2,north,103,39,31.2,west,,,WGS84,,,,,,,,,sampled as,"Kyle, terrace",series,"Fine, smectitic, mesic Aridic Haplustert",,,,
34727,ND,ND055,McLean,47,25,2.35,north,101,6,55,west,,,WGS84,,,,,,,,,sampled as,Tanka,series,"Fine-loamy, mixed, superactive, frigid Argiaquic Argialboll",,,,
32371,SD,SD069,Hyde,44,41,11,north,99,23,39,west,,,WGS84,,,,,,,,,sampled as,Glenham,series,"Fine-loamy, mixed, superactive, mesic Typic Argiustoll",,,,
33004,NE,NE155,Saunders,41,10,3.86,north,96,24,36.74,west,,,WGS84,,,,,,,,,,,,,,,,
33179,NE,NE131,Otoe,40,34,13.46,north,95,46,41.25,west,,,WGS84,,,,,,,,,,,,,,,,
32992,NE,NE155,Saunders,41,10,3.86,north,96,24,38.32,west,,,WGS84,,,,,,,,,,,,,,,,
34999,SD,SD137,Ziebach,44,56,6.6,north,101,40,46.22,west,,,WGS84,,,,,,,,,sampled as,Amor,series,"Fine-loamy, mixed, superactive, frigid Typic Haplustoll",,,,
24981,ND,ND093,Stutsman,47,9,32.36,north,99,14,20.48,west,,,WGS84,,,,,,,,,sampled as,Max,series,"Fine-loamy, mixed, superactive, frigid Typic Haplustoll",,,,
33137,NE,NE031,Cherry,42,41,12.48,north,101,4,58.8,west,,,WGS84,,,,,,,,,,,,,,,,
33191,NE,NE161,Sheridan,42,13,16.42,north,102,22,7.36,west,,,WGS84,,,,,,,,,,,,,,,,
33802,SD,SD129,Walworth,45,27,36,north,100,3,8.78,west,,,WGS84,,,,,,,,,sampled as,Highmore,taxadjunct,"Fine-silty, mixed, superactive, frigid Typic Argiustoll",,,,
12022,SD,SD019,Butte,44,46,46.9,north,103,39,24.5,west,,,WGS84,,,,,,,,,sampled as,"Kyle, terrace",taxadjunct,"Fine, smectitic, mesic Aridic Haplustert",,,,
34490,KS,KS045,Douglas,39,2,30.37,north,95,12,4.9,west,,,WGS84,,,,,,,,,sampled as,Rosendale,taxadjunct,"Loamy-skeletal, mixed, mesic Typic Hapludoll",,,,
33793,SD,SD129,Walworth,45,32,37.77,north,100,3,25.8,west,,,WGS84,,,,,,,,,sampled as,Highmore,taxadjunct,"Fine-silty, mixed, superactive, frigid Typic Argiustoll",,,,
33131,NE,NE031,Cherry,42,29,47.4,north,100,42,7.2,west,,,WGS84,,,,,,,,,,,,,,,,
13492,ND,ND089,Stark,46,52,24.85,north,103,13,49.76,west,,,WGS84,,,,,,,,,sampled as,Janesburg,series,"Fine, smectitic, frigid Typic Natrustoll",,,,
32865,SD,SD075,Jones,44,2,20.15,north,100,33,52.88,west,,,WGS84,,,,,,,,,sampled as,Kolls,series,"Very-fine, smectitic, mesic Typic Epiaquert",,,,
32742,SD,SD069,Hyde,44,41,10,north,99,23,34.4,west,,,WGS84,,,,,,,,,sampled as,Glenham,series,"Fine-loamy, mixed, superactive, mesic Typic Argiustoll",,,,
32863,SD,SD017,Buffalo,44,0,16.09,north,99,5,8.51,west,,,WGS84,,,,,,,,,sampled as,Bullcreek,taxadjunct,"Fine, smectitic, mesic Typic Haplustert",,,,
32993,NE,NE155,Saunders,41,10,5.26,north,96,24,37.91,west,,,WGS84,,,,,,,,,,,,,,,,
33003,NE,NE155,Saunders,41,10,3.87,north,96,24,36.36,west,,,WGS84,,,,,,,,,,,,,,,,
34507,SD,SD075,Jones,43,54,34.42,north,100,57,21.4,west,,,WGS84,,,,,,,,,sampled as,Capa,series,"Very-fine, smectitic, mesic Leptic Vertic Natrustoll",,,,
33809,SD,SD129,Walworth,45,23,30.3,north,100,1,13.98,west,,,WGS84,,,,,,,,,sampled as,Highmore,taxadjunct,"Fine-silty, mixed, superactive, frigid Typic Argiustoll",,,,
32994,NE,NE155,Saunders,41,10,5.26,north,96,24,38.31,west,,,WGS84,,,,,,,,,,,,,,,,
34728,ND,ND055,McLean,47,25,1.08,north,101,7,0,west,,,WGS84,,,,,,,,,sampled as,Bowbells,series,"Fine-loamy, mixed, superactive, frigid Pachic Argiustoll",,,,
